,,,,,,
,,,,,,
№,Описание проверки,"Статус Окружение 1 Google Chrome версии 121.0, 1920x1080","Статус Окружение 2 Яндекс Браузер версии 24.1, 1280x720",Ссылка на баг-репорт,Комментарий,Спасибо за отличное ревью!
163,"Если нажать на кнопку ""Отменить заказ"" откроется окно с текстом ""Хотите отменить заказ?""",PASSED,PASSED,,,
164,"Текст ""Хотите отменить заказ?"" выровнен по центру сверху",PASSED,PASSED,,,
165,"Цвет текста ""Хотите отменить заказ?"" черный",PASSED,PASSED,,,
166,"Внизу окна, слева есть кнопка ""Назад""",PASSED,PASSED,,,
167,"Цвет кнопки ""Назад"" черный",PASSED,PASSED,,,
168,"Текст вунтри кнопки ""Назад"" - белый",PASSED,PASSED,,,
169,"Название кнопки ""Назад""не содержит орфографических ошибок",PASSED,PASSED,,,
170,"При наведении курсора на кнопку ""Назад"" курсор меняется на руку",PASSED,PASSED,,,
171,"При наведении курсора на кнопку ""Назад"" цвет кнопки тусклеет",PASSED,PASSED,,,
172,"Если кликнуть по кнопке ""Назад"" произойдет возврат на окно с информацией о заказе",PASSED,PASSED,,,
173,"Справа от кнопки ""Назад"" есть кнопка ""Отменить""",PASSED,PASSED,,,
174,"Цвет кнопки ""Отменить"" белый",PASSED,PASSED,,,
175,"Кнопка ""Отменить"" имеет черные рамки",PASSED,PASSED,,,
176,"Текст вунтри кнопки ""Отменить"" - черный",PASSED,PASSED,,,
177,"Название кнопки ""Отменить"" не содержит орфографических ошибок",PASSED,PASSED,,,
178,"При наведении курсора на кнопку ""Отменить"" курсор меняется на руку",PASSED,PASSED,,,
179,"Если кликнуть по кнопке ""Отменить"" Появится всплывающее окно с текстом «Заказ отменён. Возвращайтесь, мы всегда вас ждём :)»",PASSED,PASSED,,,
180,"Текст ""Заказ отменён. Возвращайтесь, мы всегда вас ждём :)"" выровнен по центру сверху",PASSED,PASSED,,,
181,"Цвет текста ""Заказ отменён. Возвращайтесь, мы всегда вас ждём :)"" черный",PASSED,PASSED,,,
182,"Внизу окна, справа есть кнопка ""Хорошо""",PASSED,PASSED,,,
183,"Цвет кнопки ""Хорошо"" черный",PASSED,PASSED,,,
184,"Текст вунтри кнопки ""Хорошо"" - белый",PASSED,PASSED,,,
185,"Название кнопки ""Хорошо"" не содержит орфографических ошибок",PASSED,PASSED,,,
186,"При наведении курсора на кнопку ""Хорошо"" курсор меняется на руку",PASSED,PASSED,,,
187,"При наведении курсора на кнопку ""Хорошо"" цвет кнопки тусклеет",PASSED,PASSED,,,
188,"Если кликнуть по кнопке ""Хорошо"" произойдет переход на главную страницу лендинга",PASSED,PASSED,,,
189,Пользователь не может посмотреть удленный заказ,FAILED,FAILED,5V-93 Удаленный заказ не удаляется из базы данных,,
190,Удаленный заказ удаляется из базы данных,FAILED,FAILED,5V-93 Удаленный заказ не удаляется из базы данных,,
Шапка,,,,,,
191,"В левом верхнем углу шапки есть логотип ""Яндекс""",PASSED,PASSED,,,
192,"Цвет текста ""Яндекс"" - черный, жирный",PASSED,PASSED,,,
193,"Справа от логотипа яндекса есть логотип ""Самокат""",PASSED,PASSED,,,
194,"Цвет текста ""Самокат"" - черный",PASSED,PASSED,,,
195,"При клике по логотипу ""Яндекс"" происходит переход на главную страницу Яндекса",PASSED,PASSED,,,
196,"При клике по логотипу ""Самокат"" происходит переход на главную страницу Яндекс.Самоката",PASSED,PASSED,,,
197,"Справа, сверху от логотипа самоката есть текст ""Учебный тренажер""",PASSED,PASSED,,,
198,"Кнопка ""Статус заказа"" находится в правом верхнем углу шапки",PASSED,PASSED,,,
199,Кнопка не имеет рамок,PASSED,PASSED,,,
200,Кнопка не имеет фона,PASSED,PASSED,,,
201,"Цвет текста ""Статус заказа"" черный",PASSED,PASSED,,,
202,Кнопка выровнена,PASSED,PASSED,,,
203,"При наведении курсора на кнопку ""Статус заказа"" курсор меняется на руку",PASSED,PASSED,,,
204,"При клике по кнопке ""Статус заказа"" появляется поле ввода ""Номер заказа""",PASSED,PASSED,,,
205,"Кнопка ""Заказать"" находится левее кнопки ""Статус заказа""",PASSED,PASSED,,,
206,"Цвет кнопки ""Заказать"" - черный",PASSED,PASSED,,,
207,"Кнопка ""Заказать"" выровнена",PASSED,PASSED,,,
208,"При наведении курсора на кнопку ""Заказать"" курсор меняется на руку",PASSED,PASSED,,,
209,"При наведении курсора на кнопку ""Заказать"" цвет кнопки тусклеет",PASSED,PASSED,,,
210,"При клике по кнопке ""Заказать"" появляется окно ""Для кого самокат""",PASSED,PASSED,,,
211,"При клике по кнопке ""Статус заказа"" кнопка ""Заказать пропадает",PASSED,PASSED,,,
